brand,os,inches,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),video_720p,video_1080p,video_4K,video_8K,video_30fps,video_60fps,video_120fps,video_240fps,video_480fps,video_960fps,price,resolution_height,resolution_width,resolution,os_unique,ppi
LG,Android 8.1,5.5,3000,Li-Po,4,2018-05-01,145.0,32,False,True,False,False,True,False,False,False,False,False,370.0,1080,2160,2332800,Android,439.0824392181405
Oppo,Android 8.1,6.0,3410,Li-Ion,4,2018-05-01,155.0,64,False,True,False,False,True,False,False,False,False,False,200.0,1080,2160,2332800,Android,402.49223594996215
Xiaomi,Android 8.1,6.21,3000,Li-Po,8,2018-05-01,177.0,128,True,True,True,False,True,True,True,True,False,True,400.0,1080,2248,2427840,Android,401.6060445003491
Xiaomi,Android 8.1,6.21,3400,Li-Po,8,2018-05-01,175.0,64,True,True,True,False,True,True,True,True,False,True,430.0,1080,2248,2427840,Android,401.6060445003491
Xiaomi,Android 8.1,5.88,3120,Li-Po,6,2018-05-01,164.0,64,True,True,True,False,True,False,True,False,False,False,260.0,1080,2244,2423520,Android,423.5320828927645
Xiaomi,Android 8.1,5.99,3080,Li-Po,4,2018-05-01,170.0,32,False,True,False,False,True,False,False,False,False,False,160.0,720,1440,1036800,Android,268.7761174958011
LG,Android 7.1,5.3,2880,Li-Ion,2,2018-05-01,168.0,32,False,True,False,False,True,False,False,False,False,False,150.0,720,1280,921600,Android,277.095241519786
LG,Android 8.0,6.1,3000,Li-Po,6,2018-05-02,162.0,64,True,True,True,False,True,True,True,True,False,False,300.0,1440,3120,4492800,Android,563.3241074075942
OnePlus,Android 8.1,6.28,3300,Li-Po,8,2018-05-16,177.0,64,True,True,True,False,True,True,True,True,True,False,410.0,1080,2280,2462400,Android,401.7285867827128
Oppo,Android 8.1,6.42,3400,Li-Ion,8,2018-06-01,186.0,512,True,True,True,False,True,True,True,True,True,False,130.0,1080,2340,2527200,Android,401.4342354189632
Samsung,Android 8.0,5.5,3300,Li-Ion,2,2018-06-01,181.0,16,False,True,False,False,True,False,False,False,False,False,350.0,720,1280,921600,Android,267.0190509190665
Samsung,Android 8.0,5.0,2600,Li-Ion,2,2018-06-01,152.0,16,False,True,False,False,True,False,False,False,False,False,400.0,720,1280,921600,Android,293.7209560109731
Samsung,Android 8.0,6.3,3700,Li-Ion,6,2018-06-01,191.0,64,True,True,True,False,True,False,False,False,False,False,310.0,1080,2220,2397600,Android,391.8674402179235
Lenovo,Android 8.0,6.0,3760,Li-Ion,4,2018-06-01,176.0,32,False,True,False,False,True,False,False,False,False,False,110.0,720,1440,1036800,Android,268.32815729997475
Lenovo,Android 8.1,6.2,3300,Li-Ion,6,2018-06-01,165.0,64,True,True,True,False,True,False,False,False,False,False,120.0,1080,2246,2425680,Android,401.96305502702575
Lenovo,Android 8.0,5.45,4000,Li-Ion,3,2018-06-01,160.0,16,False,True,False,False,False,True,False,False,False,False,130.0,720,1440,1036800,Android,295.40714565134834
LG,Android 8.1,6.2,3300,Li-Ion,2,2018-06-01,172.0,32,False,True,False,False,True,False,False,False,False,False,300.0,1080,2160,2332800,Android,389.5086154354472
